	num_ancestors	num_children	a/(a+c)	frecuencia relativa	c/(a+c)	exp(-c)	log(1+a)
HP:0000001	0.0	17231.0	0.0	NaN	1.0	0.0	0.0
HP:0000002	3.0	34.0	0.08108108108108109	0.29713239780353873	0.918918918918919	1.713908431542013e-15	0.6020599913279624
HP:0000003	8.0	0.0	1.0	0.023998372991661583	0.0	1.0	0.9542425094393249
HP:0000005	1.0	40.0	0.024390243902439025	NaN	0.975609756097561	4.248354255291589e-18	0.3010299956639812
HP:0000006	3.0	0.0	1.0	0.392109009558674	0.0	1.0	0.6020599913279624
HP:0000007	3.0	0.0	1.0	0.5999593247915396	0.0	1.0	0.6020599913279624
HP:0000008	7.0	107.0	0.06140350877192982	0.09172259507829977	0.9385964912280702	3.392270193026015e-47	0.9030899869919435
HP:0000009	6.0	27.0	0.18181818181818182	0.09029896278218426	0.8181818181818182	1.8795288165390832e-12	0.8450980400142568
HP:0000010	9.0	2.0	0.8181818181818182	0.03111653447223917	0.18181818181818182	0.13533528323661267	1.0
HP:0000011	7.0	0.0	1.0	0.008338417734390889	0.0	1.0	0.9030899869919435
HP:0000012	7.0	0.0	1.0	0.010372178157413058	0.0	1.0	0.9030899869919435
HP:0000013	10.0	0.0	1.0	0.010372178157413058	0.0	1.0	1.0413926851582251
HP:0000014	5.0	57.0	0.08064516129032258	0.09782387634736628	0.9193548387096774	1.7587922024243116e-25	0.7781512503836436
HP:0000015	7.0	2.0	0.7777777777777778	0.007321537522879805	0.2222222222222222	0.13533528323661267	0.9030899869919435
HP:0000016	7.0	0.0	1.0	0.005491153142159854	0.0	1.0	0.9030899869919435
HP:0000017	7.0	0.0	1.0	0.0018303843807199512	0.0	1.0	0.9030899869919435
HP:0000019	7.0	0.0	1.0	0.0008135041692088672	0.0	1.0	0.9030899869919435
HP:0000020	10.0	1.0	0.9090909090909091	0.029692902176123654	0.09090909090909091	0.3678794411714424	1.0413926851582251
HP:0000021	8.0	0.0	1.0	0.002033760423022168	0.0	1.0	0.9542425094393249
HP:0000022	7.0	19.0	0.2692307692307692	0.01586333129957291	0.7307692307692307	5.602796437537268e-09	0.9030899869919435
HP:0000023	9.0	0.0	1.0	0.05938580435224731	0.0	1.0	1.0
HP:0000024	13.0	0.0	1.0	0.0014236322961155175	0.0	1.0	1.146128035678238
HP:0000025	6.0	15.0	0.2857142857142857	0.056741915802318486	0.7142857142857143	3.059023205018258e-07	0.8450980400142568
HP:0000026	10.0	0.0	1.0	0.008948545861297539	0.0	1.0	1.0413926851582251
HP:0000027	8.0	3.0	0.7272727272727273	0.026845637583892617	0.2727272727272727	0.04978706836786394	0.9542425094393249
HP:0000028	9.0	2.0	0.8181818181818182	0.15171852755745374	0.18181818181818182	0.13533528323661267	1.0
HP:0000029	9.0	0.0	1.0	0.003050640634533252	0.0	1.0	1.0
HP:0000030	20.0	0.0	1.0	0.0024405125076266015	0.0	1.0	1.3222192947339193
HP:0000031	13.0	0.0	1.0	0.001016880211511084	0.0	1.0	1.146128035678238
HP:0000032	7.0	111.0	0.059322033898305086	0.23042505592841164	0.940677966101695	6.213159586848109e-49	0.9030899869919435
HP:0000033	9.0	0.0	1.0	0.0024405125076266015	0.0	1.0	1.0
HP:0000034	9.0	4.0	0.6923076923076923	0.006508033353670938	0.3076923076923077	0.01831563888873418	1.0
HP:0000035	8.0	47.0	0.14545454545454545	0.19341061622940817	0.8545454545454545	3.873997628687187e-21	0.9542425094393249
HP:0000036	8.0	38.0	0.17391304347826086	0.14846451088061827	0.8260869565217391	3.1391327920480296e-17	0.9542425094393249
HP:0000037	8.0	1.0	0.8888888888888888	0.008745169818995322	0.1111111111111111	0.3678794411714424	0.9542425094393249
HP:0000039	14.0	0.0	1.0	0.005897905226764287	0.0	1.0	1.1760912590556813
HP:0000040	9.0	0.0	1.0	0.0022371364653243847	0.0	1.0	1.0
HP:0000041	9.0	0.0	1.0	0.0034573927191376857	0.0	1.0	1.0
HP:0000042	6.0	0.0	1.0	0.0006101281269066504	0.0	1.0	0.8450980400142568
HP:0000044	8.0	0.0	1.0	0.03518405531828351	0.0	1.0	0.9542425094393249
HP:0000045	8.0	18.0	0.3076923076923077	0.02725238966849705	0.6923076923076923	1.522997974471263e-08	0.9542425094393249
HP:0000046	11.0	0.0	1.0	0.013219442749644091	0.0	1.0	1.0791812460476249
