,"normal: mph=0.1, iph=0.1","normal: mph=0.1, iph=0.5","normal: mph=0.5, iph=0.1","normal: mph=0.5, iph=0.5","constant: mph=0.1, iph=0.1","constant: mph=0.1, iph=0.5","constant: mph=0.5, iph=0.1","constant: mph=0.5, iph=0.5",random,clean_set
0,0.43373493975903615,0.2804878048780488,0.37209302325581395,0.43283582089552236,0.3333333333333333,0.3561643835616438,0.3333333333333333,0.40350877192982454,0.41975308641975306,0.44
1,0.7373737373737373,0.4946236559139785,0.6276595744680851,0.5824175824175825,0.7272727272727273,0.5333333333333333,0.65,0.4457831325301205,0.5698924731182796,0.81
2,0.89,0.78,0.8787878787878788,0.6875,0.92,0.6804123711340206,0.72,0.6896551724137931,0.7878787878787878,0.98
3,0.94,0.8787878787878788,0.89,0.7878787878787878,0.96,0.7755102040816326,0.91,0.6020408163265306,0.89,0.9494949494949495
4,0.96,0.9,0.9,0.89,0.95,0.86,0.94,0.7216494845360825,0.9081632653061225,0.98989898989899
5,0.95,0.96,0.9494949494949495,0.89,0.97,0.8571428571428571,0.97,0.81,0.96,0.99
6,0.99,0.97,0.98989898989899,0.97,1.0,0.94,0.98,0.83,0.96,0.98
7,1.0,0.98,0.98,0.93,0.98,0.97,0.97,0.88,0.97,0.99
8,0.99,0.99,0.99,0.94,0.98,0.9595959595959596,0.99,0.9,1.0,0.99
9,1.0,1.0,0.98,0.97,1.0,0.99,0.98,0.87,0.99,1.0
10,1.0,1.0,0.99,0.98,1.0,0.99,0.96,0.91,1.0,1.0
11,1.0,0.99,0.98,1.0,1.0,0.98989898989899,0.97,0.93,1.0,1.0
12,1.0,0.99,0.99,0.98,0.99,1.0,1.0,0.98,1.0,0.98
13,0.98989898989899,0.99,0.99,0.99,1.0,1.0,0.99,0.96,0.99,1.0
14,1.0,0.99,1.0,1.0,0.99,0.99,1.0,0.94,0.98,1.0
